orf_id,Ensembl
O00453,ENST00000303757.12 [O00453-5];ENST00000339530.8 [O00453-12];ENST00000376086.7 [O00453-13];ENST00000376089.6 [O00453-10];ENST00000376092.7 [O00453-8];ENST00000376093.6 [O00453-11];ENST00000376096.5 [O00453-9];ENST00000376110.7 [O00453-6];ENST00000383480.6 [O00453-13];ENST00000383482.2 [O00453-8];ENST00000383484.6 [O00453-12];ENST00000383486.6 [O00453-11];ENST00000400250.5 [O00453-5];ENST00000400257.5 [O00453-9];ENST00000400262.5 [O00453-10];ENST00000400263.5 [O00453-10];ENST00000400264.5 [O00453-1];ENST00000400265.5 [O00453-6];ENST00000411490.5 [O00453-1];ENST00000412041.5 [O00453-11];ENST00000412623.1 [O00453-11];ENST00000413426.5 [O00453-9];ENST00000414266.5 [O00453-10];ENST00000415419.5 [O00453-6];ENST00000415490.5 [O00453-8];ENST00000415781.5 [O00453-9];ENST00000417428.5 [O00453-1];ENST00000418507.6 [O00453-10];ENST00000420157.5 [O00453-10];ENST00000420333.5 [O00453-5];ENST00000420676.5 [O00453-13];ENST00000420785.5 [O00453-12];ENST00000420797.5 [O00453-10];ENST00000422035.5 [O00453-6];ENST00000422533.5 [O00453-5];ENST00000423107.6 [O00453-10];ENST00000423871.5 [O00453-6];ENST00000425760.5 [O00453-8];ENST00000426938.5 [O00453-1];ENST00000427186.5 [O00453-8];ENST00000427507.6 [O00453-1];ENST00000428227.5 [O00453-10];ENST00000428405.5 [O00453-10];ENST00000428898.5 [O00453-9];ENST00000429874.5 [O00453-1];ENST00000429910.5 [O00453-5];ENST00000430632.5 [O00453-1];ENST00000430680.5 [O00453-12];ENST00000430997.5 [O00453-5];ENST00000432009.6 [O00453-10];ENST00000432164.5 [O00453-8];ENST00000433004.5 [O00453-10];ENST00000433305.5 [O00453-8];ENST00000433676.6 [O00453-10];ENST00000434314.6 [O00453-1];ENST00000436037.5 [O00453-11];ENST00000436185.5 [O00453-10];ENST00000437137.6 [O00453-1];ENST00000437436.5 [O00453-6];ENST00000437812.5 [O00453-11];ENST00000438075.7 [O00453-1];ENST00000438335.5 [O00453-11];ENST00000438349.5 [O00453-6];ENST00000438381.5 [O00453-12];ENST00000440242.5 [O00453-13];ENST00000440253.5 [O00453-10];ENST00000440323.5 [O00453-10];ENST00000440328.5 [O00453-8];ENST00000442052.5 [O00453-12];ENST00000443340.6 [O00453-1];ENST00000443655.5 [O00453-5];ENST00000443741.6 [O00453-1];ENST00000446239.5 [O00453-6];ENST00000447141.5 [O00453-9];ENST00000447391.5 [O00453-10];ENST00000448236.5 [O00453-11];ENST00000448441.6 [O00453-10];ENST00000449236.5 [O00453-10];ENST00000449273.5 [O00453-5];ENST00000450291.5 [O00453-13];ENST00000450425.6 [O00453-10];ENST00000451641.5 [O00453-12];ENST00000451922.5 [O00453-13];ENST00000452169.5 [O00453-12];ENST00000453995.6 [O00453-1];ENST00000454168.5 [O00453-13];ENST00000455003.5 [O00453-1];ENST00000455052.5 [O00453-10];ENST00000455426.6 [O00453-10];ENST00000455493.5 [O00453-9];ENST00000455655.6 [O00453-10];ENST00000455901.6 [O00453-1];ENST00000457549.5 [O00453-13];ENST00000458456.5 [O00453-9];
O00459,
O00461,
O00462,
O00463,
O00468,
O00469,
O00470,
O00471,
O00472,
O00476,
O00478,
O00481,
O00482,
O00483,ENST00000339600.6;
O00487,
O00488,ENST00000374266.7;
O00499,
O00501,
O00505,
O00506,
O00507,
O00512,
O00519,
O00522,
O00526,ENST00000264031.3;
O00533,
O00541,
O00548,
O00555,
O00559,
O00560,
O00562,
O00566,
O00567,
O00571,
O00574,
O00584,
O00585,ENST00000259607.7;
O00587,
O00590,
O00591,
O00592,
O00602,
O00622,
O00623,
O00625,
O00626,ENST00000219235.5;
O00628,
O00629,
O00631,ENST00000305991.3;ENST00000525934.1;ENST00000531293.1;
O00635,
O00712,
O00716,
O00743,
O00744,
O00746,ENST00000219479.7 [O00746-1];ENST00000397722.5 [O00746-2];ENST00000450036.1 [O00746-2];ENST00000620944.4 [O00746-2];
O00748,
O00750,
O00754,
O00755,
O00757,
O00762,ENST00000335046.7 [O00762-4];ENST00000352551.9 [O00762-3];ENST00000356455.9 [O00762-1];ENST00000372568.4 [O00762-2];
O00763,
O00764,
O00767,
O14490,
O14492,
O14493,
O14494,
O14495,
O14497,
O14503,
O14508,ENST00000340600.6;ENST00000536696.6;ENST00000549122.5;ENST00000549206.5;ENST00000551556.2;ENST00000622746.4;
O14511,
O14512,
O14514,
O14519,ENST00000261692.7 [O14519-1];ENST00000535979.5 [O14519-2];ENST00000538446.5 [O14519-2];ENST00000542174.5 [O14519-2];ENST00000544658.5 [O14519-2];ENST00000618072.4 [O14519-2];ENST00000652466.1 [O14519-2];
O14520,
O14521,ENST00000375549.8 [O14521-1];ENST00000525291.5 [O14521-2];ENST00000526592.5 [O14521-4];ENST00000528048.5 [O14521-3];
O14522,
O14523,
O14524,
O14525,
O14526,
O14529,
O14530,
O14531,
O14543,
O14544,
O14556,
O14558,ENST00000004982.6;
O14559,
O14561,ENST00000007516.8;ENST00000570319.5;
O14569,
O14576,
O14578,
O14579,
O14593,
O14594,
O14595,
O14607,
O14610,ENST00000300406.6;ENST00000507680.6;ENST00000511277.5;ENST00000511673.1;ENST00000515635.5;
O14613,
O14617,
O14618,
O14625,ENST00000306621.8;ENST00000503860.1;
O14627,
O14628,
O14633,ENST00000368780.4;
O14638,
O14639,
O14640,
O14641,
O14645,
O14646,
O14647,
O14649,
O14653,
O14654,
O14656,
O14657,
O14662,
O14669,
O14672,
O14678,
O14681,
O14682,
O14684,ENST00000340607.5;
O14686,
O14713,ENST00000238091.8 [O14713-2];ENST00000355346.9 [O14713-1];ENST00000360635.7 [O14713-1];ENST00000488451.5 [O14713-2];
O14717,
O14727,
O14730,
O14732,
O14733,
O14734,
O14735,
O14737,ENST00000419343.7 [O14737-2];ENST00000590247.7 [O14737-1];
O14744,
O14745,
O14746,
O14756,
O14757,
O14763,
O14764,
O14770,
O14771,
O14772,
O14773,
O14775,
O14776,
O14777,
O14782,
O14786,
O14787,
O14788,
O14791,
O14792,
O14793,
O14795,
O14796,ENST00000367929.3 [O14796-1];
O14798,
O14802,
O14807,
O14810,ENST00000304062.11;
O14813,
O14815,
O14817,
O14818,
O14827,
O14828,
O14829,
O14830,
O14832,
O14836,
O14841,
O14842,
O14843,
O14862,
O14863,
O14867,
O14874,
O14879,
O14880,ENST00000367884.6;ENST00000367889.8;
O14893,
O14894,ENST00000270560.4;
O14896,
O14901,
O14904,
O14905,
O14907,ENST00000225525.4;
O14908,
O14910,
O14917,
O14920,
O14924,
O14925,
O14926,
O14929,
O14931,
O14933,ENST00000287156.9 [O14933-1];ENST00000340573.8 [O14933-2];
O14936,
O14939,
O14944,ENST00000244869.3;
O14948,
O14949,ENST00000378665.1;ENST00000378667.1;ENST00000378670.8;
O14950,ENST00000237500.10;ENST00000400175.9;ENST00000581193.5;ENST00000584539.1;ENST00000648965.1;
O14958,
O14960,ENST00000274507.6;
O14964,
O14965,
O14966,
O14967,
O14972,
O14974,
O14975,
O14976,
O14977,
O14978,
O14979,
O14980,
O14981,
O14983,
O14986,
O14994,
O15013,
O15014,
O15015,
O15018,
O15020,
O15021,
O15027,
O15031,
O15033,
O15040,
O15041,
O15042,
O15047,
O15049,
O15054,
O15055,
O15056,
O15060,
O15061,
O15062,
O15066,
O15067,
O15068,
O15072,
O15075,
O15078,
O15079,
O15083,
O15084,
O15085,
O15091,
O15105,
O15111,
O15116,ENST00000311351.9;
O15117,
O15118,
O15119,
O15120,
O15121,
O15123,
O15126,
O15127,
O15130,ENST00000267017.4 [O15130-1];
O15131,
O15143,
O15144,
O15145,ENST00000228825.12;
O15146,
O15151,
O15155,ENST00000222547.8 [O15155-1];ENST00000433727.5 [O15155-2];
O15156,
O15160,
O15162,
O15164,
O15165,
O15169,
O15173,
O15178,
O15182,ENST00000283122.8;
O15194,
O15195,
O15197,
O15198,
O15204,
O15205,ENST00000377050.5;ENST00000383547.3;ENST00000421519.2;ENST00000432676.2;
O15209,
O15211,
O15212,ENST00000374606.10;ENST00000374607.5;ENST00000374610.6;ENST00000383207.6;ENST00000395131.5;ENST00000399383.7;ENST00000399385.5;ENST00000412289.5;ENST00000425878.6;ENST00000431830.5;ENST00000432391.6;ENST00000442285.5;ENST00000445559.5;ENST00000448594.5;ENST00000451970.5;ENST00000452658.6;ENST00000547641.2;ENST00000547952.2;ENST00000548040.2;ENST00000552711.2;
O15217,
O15226,
O15228,
O15229,
O15230,
O15231,
O15232,
O15234,
O15239,ENST00000371437.5;
O15240,
O15243,ENST00000371065.9;
O15244,
O15245,
O15247,
O15254,
O15258,ENST00000488353.2;ENST00000605895.6;
O15259,
O15260,
O15263,ENST00000302247.3;ENST00000318157.3;ENST00000617136.2;ENST00000642856.2;ENST00000644124.2;
O15264,
O15265,
O15266,
O15269,
O15270,
O15273,ENST00000309889.3;
O15287,
O15294,
O15296,
O15297,
O15303,
O15304,ENST00000329967.11 [O15304-1];ENST00000347067.9 [O15304-2];
O15305,
O15315,
O15318,
O15327,
O15342,ENST00000517669.1;ENST00000519374.6;
O15344,
O15347,ENST00000325307.12;ENST00000448905.6;
O15350,
O15353,
O15354,
O15355,
O15357,
O15360,
O15370,
O15371,
O15372,
O15379,
O15381,
O15382,
O15389,
O15391,
O15392,ENST00000374948.6 [O15392-3];ENST00000590449.1 [O15392-7];ENST00000590925.6 [O15392-4];ENST00000592734.5 [O15392-6];
O15393,
O15394,
O15397,
O15399,
O15400,
O15405,
O15409,
O15427,
O15431,ENST00000374212.5;
O15438,
O15439,
O15440,
O15444,ENST00000253451.9 [O15444-3];ENST00000315626.6 [O15444-1];ENST00000390669.7 [O15444-1];ENST00000680450.1 [O15444-3];ENST00000680506.1 [O15444-1];ENST00000680646.1 [O15444-1];ENST00000681526.1 [O15444-3];
O15446,
O15455,
O15457,
O15460,
O15466,
O15467,ENST00000611905.2;ENST00000621559.2;
O15479,
O15481,
O15484,
O15488,
O15492,
O15496,ENST00000438167.8;ENST00000621727.2;
O15498,ENST00000223369.3 [O15498-1];ENST00000496112.5 [O15498-2];ENST00000679020.1 [O15498-1];
O15499,
O15503,
O15504,
O15511,ENST00000294742.6 [O15511-2];ENST00000359856.11 [O15511-1];
O15514,ENST00000272645.9;
O15516,
O15519,
O15520,
O15522,
O15523,
O15524,
O15525,ENST00000357736.9;ENST00000392366.7;
O15527,
O15528,
O15529,
O15530,
O15533,
O15534,
O15535,
O15537,
O15540,ENST00000356535.4 [O15540-2];ENST00000368444.8 [O15540-1];
O15541,
O15547,
O15550,
O15551,
O15552,
O15553,
O15554,
O42043,
O43143,
O43147,
O43148,
O43149,
O43150,
O43151,
O43155,
O43156,
O43157,
O43159,
O43164,
O43166,
O43167,
O43169,ENST00000307892.13;
O43172,
O43173,
O43174,
O43175,
O43181,ENST00000296684.10;
O43182,
O43184,
O43186,
O43187,
O43189,
O43193,
O43194,
O43196,
O43236,
O43237,
O43240,
O43242,
O43248,
O43251,
O43252,
O43255,
O43257,ENST00000305105.3;
O43264,
O43272,
O43278,
O43280,
O43281,
O43283,
O43286,
O43290,
O43291,
O43292,
O43293,
O43294,
O43295,
O43296,
O43298,
O43299,
O43300,
O43303,
O43306,
O43307,
O43309,
O43310,
O43312,
O43313,
O43314,
O43315,
O43316,
O43318,
O43320,
O43323,
O43324,ENST00000379715.10 [O43324-1];ENST00000429723.6 [O43324-2];
O43353,
O43364,
O43365,
O43374,
O43379,
O43390,
O43395,
O43396,
O43399,
O43402,
O43405,
O43422,
O43424,
O43426,
O43427,
O43432,
O43435,
O43439,
O43447,ENST00000304979.8 [O43447-1];ENST00000372550.6 [O43447-1];ENST00000676675.1 [O43447-1];ENST00000677900.1 [O43447-1];ENST00000678038.1 [O43447-1];ENST00000678333.1 [O43447-1];ENST00000678803.1 [O43447-1];
O43451,
O43462,
O43463,
O43464,
O43474,
O43482,
O43488,
O43490,
O43491,
O43493,
O43497,
O43502,
O43504,ENST00000602318.6;
O43505,
O43506,
O43508,
O43511,
O43513,
O43516,
O43520,
O43521,ENST00000308659.12 [O43521-2];ENST00000337565.9 [O43521-17];ENST00000393256.8 [O43521-1];ENST00000405953.5 [O43521-17];ENST00000415458.5 [O43521-16];ENST00000431217.1 [O43521-10];ENST00000433098.5 [O43521-5];ENST00000436733.5 [O43521-14];ENST00000437029.5 [O43521-8];ENST00000439718.1 [O43521-7];ENST00000452231.5 [O43521-9];ENST00000610735.4 [O43521-14];ENST00000615946.4 [O43521-7];ENST00000619294.4 [O43521-10];ENST00000620862.4 [O43521-5];ENST00000621302.4 [O43521-4];ENST00000622509.4 [O43521-8];ENST00000622612.4 [O43521-11];
O43524,
O43525,
O43526,
O43529,
O43541,
O43542,
O43543,
O43548,
O43556,
O43557,
O43559,
O43561,
O43566,
O43567,
O43570,
O43572,
O43581,
O43583,ENST00000280557.11;
O43586,
O43592,
O43593,
O43597,
O43598,ENST00000230431.11 [O43598-1];ENST00000393987.2 [O43598-2];
O43602,
O43603,
O43609,
O43610,
O43612,ENST00000293330.1;
O43613,
O43614,
O43615,
O43617,ENST00000373162.5 [O43617-2];ENST00000373163.5 [O43617-2];ENST00000373166.8 [O43617-1];ENST00000617904.4 [O43617-2];
O43623,
O43633,
O43639,
O43653,ENST00000301258.5;
O43660,
O43663,
O43665,ENST00000369101.7 [O43665-1];ENST00000369103.3 [O43665-3];ENST00000392865.5 [O43665-2];
O43670,
O43674,ENST00000259037.8 [O43674-1];ENST00000493866.5 [O43674-2];
O43676,ENST00000237889.9;ENST00000433898.5;ENST00000450023.6;ENST00000454214.1;ENST00000682325.1;ENST00000684175.1;ENST00000684420.1;
O43678,ENST00000252102.9 [O43678-1];ENST00000512088.1 [O43678-2];
O43679,
O43680,ENST00000237316.3;ENST00000367882.5;
O43681,
O43683,
O43684,
O43687,ENST00000342266.4 [O43687-2];ENST00000474850.2 [O43687-1];
O43688,
O43699,
O43704,
O43707,
O43708,
O43709,
O43711,
O43715,ENST00000546954.2;
O43716,ENST00000551765.6;
O43719,
O43731,
O43734,
O43739,
O43741,
O43745,ENST00000300113.3;
O43747,
O43749,
O43752,
O43759,
O43760,
O43761,
O43763,
O43765,
O43766,
O43768,ENST00000271690.12 [O43768-2];ENST00000339643.9 [O43768-3];ENST00000361532.9 [O43768-5];ENST00000361631.9 [O43768-7];ENST00000362052.7 [O43768-8];ENST00000369014.10 [O43768-1];ENST00000503241.1 [O43768-9];ENST00000503345.1 [O43768-8];ENST00000509582.5 [O43768-8];ENST00000513281.5 [O43768-6];
O43772,
O43776,
O43781,
O43790,
O43791,
O43795,
O43805,ENST00000322310.10;
O43808,
O43809,
O43813,
O43815,
O43818,
O43819,
O43820,
O43822,
O43823,
O43825,
O43826,
O43827,
O43829,
O43837,
O43847,
O43852,
O43854,
O43861,
O43865,
O43866,
O43868,
O43889,
O43895,
O43896,
O43897,
O43900,
O43903,
O43909,
O43913,
O43914,ENST00000262629.9 [O43914-1];ENST00000544690.6 [O43914-3];ENST00000589517.1 [O43914-2];
O43915,
O43916,
O43918,
O43920,ENST00000372967.3;ENST00000372969.8;
O43921,
O43924,ENST00000287600.9;
O43927,ENST00000286758.4;ENST00000682537.1;
O43929,
O43933,
O60216,
O60218,
O60220,ENST00000372902.4;
O60229,
O60231,
O60232,ENST00000309328.8;
O60235,
O60237,
O60238,
O60239,
O60240,
O60241,
O60242,
O60243,
O60244,
O60248,
O60256,
O60258,
O60259,
O60260,
O60264,
O60266,
O60269,
O60271,
O60281,
O60282,
O60284,
O60285,
O60291,
O60292,
O60293,
O60294,
O60296,
O60303,
O60304,
O60306,
O60307,
O60308,
O60312,
O60313,
O60315,
O60318,
O60331,
O60333,
O60336,
O60337,
O60341,
O60343,
O60346,
O60353,
O60356,ENST00000324873.8 [O60356-1];ENST00000395641.2 [O60356-2];
O60359,
O60381,
O60383,
O60391,
O60393,
O60423,
O60427,
O60437,
O60443,
O60447,
O60449,
O60462,
O60469,
O60476,
O60477,
O60478,
O60479,
O60481,
O60486,
O60487,
O60488,
O60493,ENST00000230085.13 [O60493-1];ENST00000349379.5 [O60493-4];ENST00000368979.6 [O60493-3];ENST00000426155.6 [O60493-2];
O60494,
O60496,
O60499,
O60500,
O60502,
O60503,
O60504,
O60506,
O60507,
O60508,
O60512,
O60513,
O60519,ENST00000228865.3;
O60524,
O60543,
O60547,
O60548,
O60551,
O60563,
O60565,ENST00000300177.8 [O60565-1];ENST00000322805.5 [O60565-2];ENST00000560830.1 [O60565-2];ENST00000632478.1 [O60565-2];ENST00000651081.1 [O60565-1];ENST00000651154.1 [O60565-1];ENST00000651986.1 [O60565-1];ENST00000652365.1 [O60565-1];
O60566,
O60568,
O60573,
O60583,
O60602,
O60603,
O60609,
O60610,
O60613,ENST00000331835.10 [O60613-1];ENST00000370554.5 [O60613-2];
O60635,
O60636,
O60641,
O60645,
O60656,
O60658,
O60662,
O60663,
O60664,
O60667,
O60669,
O60671,
O60673,
O60674,
O60675,ENST00000343242.9;ENST00000403150.5;ENST00000406174.2;
O60678,
O60682,
O60683,
O60684,
O60687,
O60701,
O60704,
O60706,
O60711,
O60716,
O60721,
O60725,
O60729,
O60733,
O60741,
O60749,
O60755,
O60759,
O60760,ENST00000295256.10;
O60762,
O60763,
O60779,
O60783,ENST00000476371.1;
O60784,
O60806,
O60812,
O60814,ENST00000356950.2;
O60825,
O60826,
O60828,
O60829,ENST00000218068.7;ENST00000376141.5;
O60830,ENST00000376582.7 [O60830-1];ENST00000396779.7 [O60830-2];ENST00000465150.6 [O60830-2];ENST00000696123.1 [O60830-1];
O60831,ENST00000553851.3;
O60832,
O60840,
O60841,
O60844,ENST00000400752.6;
O60858,
O60861,
O60869,ENST00000224073.6 [O60869-1];ENST00000371648.4 [O60869-2];ENST00000371649.5 [O60869-3];
O60870,
O60879,
O60880,ENST00000360027.5 [O60880-4];ENST00000371139.9 [O60880-1];ENST00000477673.2 [O60880-5];ENST00000491950.5 [O60880-3];ENST00000494073.5 [O60880-6];ENST00000698113.1 [O60880-1];ENST00000698116.1 [O60880-1];ENST00000698118.1 [O60880-1];
O60882,
O60883,
O60884,
O60885,
O60888,ENST00000374496.3 [O60888-3];ENST00000374500.10 [O60888-3];ENST00000435267.6 [O60888-2];ENST00000440279.7 [O60888-3];ENST00000440930.6 [O60888-1];ENST00000487148.5 [O60888-3];ENST00000488034.6 [O60888-1];ENST00000607266.5 [O60888-3];
O60890,
O60894,ENST00000254661.5;
O60895,ENST00000253796.10 [O60895-1];ENST00000587142.5 [O60895-2];
O60896,ENST00000242249.8;ENST00000481345.1;
O60902,
O60906,
O60907,
O60909,
O60911,
O60921,
O60927,ENST00000376772.8;ENST00000383612.8;ENST00000431424.6;ENST00000431977.6;ENST00000436591.6;ENST00000437937.6;ENST00000448378.6;ENST00000452679.6;
O60928,
O60930,
O60931,
O60934,
O60936,
O60938,
O60939,
O60941,
O60942,
O75015,
O75019,
O75022,
O75023,
O75027,
O75030,
O75031,
O75037,
O75038,
O75044,
O75051,
O75052,
O75054,
O75056,
O75061,
O75063,
O75069,
O75072,
O75074,
O75077,
O75078,
O75081,
O75083,
O75084,
O75093,
O75094,
O75096,
O75106,
O75110,
O75112,
O75113,
O75116,
O75121,
O75122,
O75127,
O75128,
O75129,
O75131,
O75132,
O75140,
O75143,
O75144,
O75145,
O75146,
O75147,
O75150,
O75151,
O75152,
O75154,
O75155,
O75159,
O75161,
O75164,
O75165,
O75167,
O75170,
O75173,
O75175,
O75177,
O75179,
O75182,
O75185,
O75190,
O75191,
O75192,
O75197,
O75204,
O75208,
O75223,ENST00000005374.10 [O75223-2];ENST00000275428.9 [O75223-1];ENST00000409144.5 [O75223-3];ENST00000409390.5 [O75223-4];
O75251,
O75293,ENST00000215631.9;
O75298,
O75306,
O75309,
O75311,
O75312,
O75317,
O75319,
O75323,
O75324,ENST00000329565.6;
O75326,
O75330,
O75334,
O75339,
O75340,ENST00000264933.9 [O75340-1];ENST00000505221.5 [O75340-3];ENST00000507528.5 [O75340-2];
O75342,
O75343,
O75344,
O75347,ENST00000306388.10 [O75347-2];ENST00000380377.9 [O75347-1];
O75348,ENST00000374050.4;
O75351,
O75354,
O75355,
O75356,
O75360,
O75362,
O75364,
O75365,ENST00000329397.6 [O75365-1];ENST00000349124.3 [O75365-1];ENST00000520105.5 [O75365-2];ENST00000521578.6 [O75365-1];ENST00000614325.2 [O75365-2];ENST00000622569.3 [O75365-1];ENST00000633518.1 [O75365-1];ENST00000633621.1 [O75365-2];ENST00000680615.1 [O75365-1];ENST00000681443.1 [O75365-2];
O75366,
O75367,
O75368,ENST00000373212.6;
O75369,
O75376,
O75379,ENST00000236192.12 [O75379-1];ENST00000367740.2 [O75379-2];ENST00000474047.5 [O75379-1];
O75381,
O75382,
O75385,
O75386,
O75387,
O75390,
O75396,
O75398,
O75400,
O75409,ENST00000341016.5;
O75410,
O75414,ENST00000415053.5 [O75414-1];ENST00000415644.5 [O75414-2];ENST00000426689.6 [O75414-1];ENST00000435684.5 [O75414-3];ENST00000442597.6 [O75414-1];ENST00000451657.6 [O75414-3];ENST00000452211.5 [O75414-1];ENST00000643457.1 [O75414-1];
O75417,
O75419,
O75420,
O75425,
O75427,
O75431,
O75436,
O75438,ENST00000329559.8 [O75438-1];ENST00000553514.5 [O75438-1];ENST00000555441.5 [O75438-1];ENST00000605997.6 [O75438-1];ENST00000617122.1 [O75438-2];
O75439,
O75443,
O75444,
O75445,
O75446,
O75448,
